"likeCategories","Freq"
"Musician/band",1549
"Community",1547
"Product/service",1070
"Movie",805
"Website",801
"Non-profit organization",723
"Internet/software",696
"Tv show",645
"Company",632
"Local business",562
"App page",474
"Public figure",374
"Book",359
"Media/news/publishing",359
"Computers/technology",328
"Organization",274
"Food/beverages",266
"Clothing",257
"Software",230
"Education",203
"News/media website",195
"Games/toys",180
"Athlete",179
"University",177
"Restaurant/cafe",162
"Computers/internet website",145
"Other",144
"Personal blog",137
"Entertainment website",130
"Travel/leisure",125
"Retail and consumer merchandise",120
"Author",117
"Consulting/business services",111
"Professional sports team",111
"Actor/director",109
"Magazine",99
"Health/beauty",89
"Artist",87
"Community organization",75
"Interest",68
"Shopping/retail",63
"Business/economy website",62
"Electronics",62
"Arts/entertainment/nightlife",57
"Politician",57
"Cause",55
"Professional services",45
"Fictional character",44
"Government organization",44
"Society/culture website",42
"Bar",39
"Arts/humanities website",37
"Club",36
"Education website",35
"Health/wellness website",35
"Bank/financial institution",34
"Concert venue",32
"Radio station",32
"Attractions/things to do",31
"Music",31
"Small business",31
"Tv network",31
"Health/medical/pharmaceuticals",30
"City",29
"Food/grocery",29
"Entertainer",28
"School",28
"School sports team",28
"Cars",27
"Camera/photo",26
"Wine/spirits",26
"Business person",24
"Concert tour",24
"Local/travel website",24
"Musical genre",24
"Video",24
"Museum/art gallery",23
"Movie general",22
"Outdoor gear/sporting goods",22
"Comedian",21
"Home decor",21
"Business services",20
"Sports/recreation/activities",20
"Publisher",18
"Sport",17
"Telecommunication",17
"Tv channel",17
"Event planning/event services",16
"Hotel",16
"Landmark",16
"Movies/music",16
"Record label",16
"Science website",15
"Song",15
"Tv",15
"Computers",14
"Dancer",14
"Jewelry/watches",14
"Sports league",14
"Studio",14
"Home/garden website",13
"Recreation/sports website",13
"Writer",13
"Aerospace/defense",12
"Field of study",12
"Government official",12
"Health/medical/pharmacy",11
"Journalist",11
"Political organization",11
"Album",10
"Sports venue",10
"Non-governmental organization (ngo)",9
"Personal website",9
"Household supplies",8
"Spas/beauty/personal care",8
"Teens/kids website",8
"Baby goods/kids goods",7
"Community/government",7
"Movie genre",7
"Article",6
"Automobiles and parts",6
"Automotive",6
"Bags/luggage",6
"Biotechnology",6
"Chef",6
"Music video",6
"Producer",6
"Energy/utility",5
"Kitchen/cooking",5
"Library",5
"Pet services",5
"Pet supplies",5
"Profile",5
"Teacher",5
"Church/religious organization",4
"Coach",4
"Episode",4
"Furniture",4
"Legal/law",4
"Literary editor",4
"Movie theater",4
"Real estate",4
"Reference website",4
"Regional website",4
"Book store",3
"Engineering/construction",3
"Farming/agriculture",3
"Just for fun",3
"News personality",3
"Tours/sightseeing",3
"Vitamins/supplements",3
